,OrigCode,DestCode,Origin,Destination,Trips,OPop,DEmpl,Ourban,Durban,OInc,DInc,Distance
0,30101,30101,Gamle Oslo,Gamle Oslo,54156,41736,43121.0,4.75,4.75,453000,453000,0.0
1,30101,30102,Gamle Oslo,Grünerløkka,18469,41736,29560.0,4.75,3.65,453000,450000,2143.111352411188
2,30101,30103,Gamle Oslo,Sagene,9668,41736,19408.0,4.75,2.34,453000,461000,3837.4116741526727
3,30101,30104,Gamle Oslo,St. Hanshaugen,12592,41736,54104.0,4.75,2.8,453000,430000,4360.828506791868
4,30101,30105,Gamle Oslo,Frogner,14549,41736,48082.0,4.75,5.35,453000,464000,5157.307530520635
5,30101,30106,Gamle Oslo,Ullern,5653,41736,38334.0,4.75,7.1,453000,648000,5495.850695310252
6,30101,30107,Gamle Oslo,Vestre Aker,6155,41736,13362.0,4.75,11.55,453000,688000,9036.710976371432
7,30101,30108,Gamle Oslo,Nordre Aker,9544,41736,42238.0,4.75,10.5,453000,578000,5531.682961834201
8,30101,30109,Gamle Oslo,Bjerke,6256,41736,22537.0,4.75,5.85,453000,490000,4888.176111972501
9,30101,30110,Gamle Oslo,Grorud,4021,41736,9297.0,4.75,4.37,453000,453000,10092.272151328758
10,30101,30111,Gamle Oslo,Stovner,4182,41736,9490.0,4.75,5.04,453000,489000,10711.85310778364
11,30101,30112,Gamle Oslo,Alna,11523,41736,31427.0,4.75,9.23,453000,477000,5709.539042453486
12,30101,30113,Gamle Oslo,Østensjø,9885,41736,12470.0,4.75,7.66,453000,539000,5262.418363336425
13,30101,30114,Gamle Oslo,Nordstrand,9447,41736,11179.0,4.75,11.83,453000,607000,5575.669371347049
14,30101,30115,Gamle Oslo,Søndre Nordstrand,5692,41736,6701.0,4.75,6.16,453000,539000,11800.002553427603
15,30101,30116,Gamle Oslo,Sentrum,11361,41736,77995.0,4.75,1.4,453000,335000,2215.570736007706
16,30101,30117,Gamle Oslo,Marka,380,41736,793.0,4.75,5.699999999999999,453000,625000,13807.734657262357
17,30102,30101,Grünerløkka,Gamle Oslo,18715,47824,43121.0,3.65,4.75,450000,453000,2220.5920449705786
18,30102,30102,Grünerløkka,Grünerløkka,57167,47824,29560.0,3.65,3.65,450000,450000,0.0
19,30102,30103,Grünerløkka,Sagene,15488,47824,19408.0,3.65,2.34,450000,461000,1943.3970640756836
20,30102,30104,Grünerløkka,St. Hanshaugen,15743,47824,54104.0,3.65,2.8,450000,430000,2850.3803440075603
21,30102,30105,Grünerløkka,Frogner,14880,47824,48082.0,3.65,5.35,450000,464000,5414.543905645182
22,30102,30106,Grünerløkka,Ullern,5328,47824,38334.0,3.65,7.1,450000,648000,6440.396647702842
23,30102,30107,Grünerløkka,Vestre Aker,6017,47824,13362.0,3.65,11.55,450000,688000,8350.244073659203
24,30102,30108,Grünerløkka,Nordre Aker,11666,47824,42238.0,3.65,10.5,450000,578000,3637.6683517572114
25,30102,30109,Grünerløkka,Bjerke,7503,47824,22537.0,3.65,5.85,450000,490000,3561.389676635192
26,30102,30110,Grünerløkka,Grorud,3918,47824,9297.0,3.65,4.37,450000,453000,8855.066991932954
27,30102,30111,Grünerløkka,Stovner,3956,47824,9490.0,3.65,5.04,450000,489000,9385.06667244633
28,30102,30112,Grünerløkka,Alna,8985,47824,31427.0,3.65,9.23,450000,477000,5294.072400481114
29,30102,30113,Grünerløkka,Østensjø,6438,47824,12470.0,3.65,7.66,450000,539000,5730.216453285571
30,30102,30114,Grünerløkka,Nordstrand,6551,47824,11179.0,3.65,11.83,450000,607000,7676.626390897345
31,30102,30115,Grünerløkka,Søndre Nordstrand,3847,47824,6701.0,3.65,6.16,450000,539000,14010.685702421997
32,30102,30116,Grünerløkka,Sentrum,9811,47824,77995.0,3.65,1.4,450000,335000,3197.5587561714124
33,30102,30117,Grünerløkka,Marka,565,47824,793.0,3.65,5.699999999999999,450000,625000,11913.720047185367
34,30103,30101,Sagene,Gamle Oslo,9690,33852,43121.0,2.34,4.75,461000,453000,3796.002478906075
35,30103,30102,Sagene,Grünerløkka,15379,33852,29560.0,2.34,3.65,461000,450000,1955.2502210854907
36,30103,30103,Sagene,Sagene,31938,33852,19408.0,2.34,2.34,461000,461000,0.0
37,30103,30104,Sagene,St. Hanshaugen,11580,33852,54104.0,2.34,2.8,461000,430000,1868.76781999271
38,30103,30105,Sagene,Frogner,10563,33852,48082.0,2.34,5.35,461000,464000,4995.64957809957
39,30103,30106,Sagene,Ullern,4047,33852,38334.0,2.34,7.1,461000,648000,5845.2628769707735
40,30103,30107,Sagene,Vestre Aker,4572,33852,13362.0,2.34,11.55,461000,688000,7247.014350869352
41,30103,30108,Sagene,Nordre Aker,13830,33852,42238.0,2.34,10.5,461000,578000,1884.671172251052
42,30103,30109,Sagene,Bjerke,4755,33852,22537.0,2.34,5.85,461000,490000,4443.144531503803
43,30103,30110,Sagene,Grorud,2484,33852,9297.0,2.34,4.37,461000,453000,9007.116680899046
44,30103,30111,Sagene,Stovner,1978,33852,9490.0,2.34,5.04,461000,489000,10653.719365666482
45,30103,30112,Sagene,Alna,5384,33852,31427.0,2.34,9.23,461000,477000,6854.8861922602655
46,30103,30113,Sagene,Østensjø,3673,33852,12470.0,2.34,7.66,461000,539000,7685.466674371059
47,30103,30114,Sagene,Nordstrand,3724,33852,11179.0,2.34,11.83,461000,607000,8773.789069634602
48,30103,30115,Sagene,Søndre Nordstrand,1800,33852,6701.0,2.34,6.16,461000,539000,15026.409945019564
49,30103,30116,Sagene,Sentrum,5477,33852,77995.0,2.34,1.4,461000,335000,4057.8938905816794
50,30103,30117,Sagene,Marka,611,33852,793.0,2.34,5.699999999999999,461000,625000,10160.722867679206
51,30104,30101,St. Hanshaugen,Gamle Oslo,12727,29966,43121.0,2.8,4.75,430000,453000,4532.999784039494
52,30104,30102,St. Hanshaugen,Grünerløkka,15837,29966,29560.0,2.8,3.65,430000,450000,2842.3186554734016
53,30104,30103,St. Hanshaugen,Sagene,11780,29966,19408.0,2.8,2.34,430000,461000,1869.3447469106911
54,30104,30104,St. Hanshaugen,St. Hanshaugen,35436,29966,54104.0,2.8,2.8,430000,430000,0.0
55,30104,30105,St. Hanshaugen,Frogner,18561,29966,48082.0,2.8,5.35,430000,464000,3739.4172838365926
56,30104,30106,St. Hanshaugen,Ullern,5378,29966,38334.0,2.8,7.1,430000,648000,4300.922129547601
57,30104,30107,St. Hanshaugen,Vestre Aker,7374,29966,13362.0,2.8,11.55,430000,688000,6345.052405175703
58,30104,30108,St. Hanshaugen,Nordre Aker,11459,29966,42238.0,2.8,10.5,430000,578000,3161.506711309059
59,30104,30109,St. Hanshaugen,Bjerke,4259,29966,22537.0,2.8,5.85,430000,490000,6184.069986269997
60,30104,30110,St. Hanshaugen,Grorud,2641,29966,9297.0,2.8,4.37,430000,453000,10748.042135665235
61,30104,30111,St. Hanshaugen,Stovner,2443,29966,9490.0,2.8,5.04,430000,489000,12227.38532791973
62,30104,30112,St. Hanshaugen,Alna,5946,29966,31427.0,2.8,9.23,430000,477000,8136.391055954514
63,30104,30113,St. Hanshaugen,Østensjø,5519,29966,12470.0,2.8,7.66,430000,539000,8572.53510875897
64,30104,30114,St. Hanshaugen,Nordstrand,5896,29966,11179.0,2.8,11.83,430000,607000,8787.056680460066
65,30104,30115,St. Hanshaugen,Søndre Nordstrand,3562,29966,6701.0,2.8,6.16,430000,539000,15015.565603553056
66,30104,30116,St. Hanshaugen,Sentrum,12214,29966,77995.0,2.8,1.4,430000,335000,4047.0495491151714
67,30104,30117,St. Hanshaugen,Marka,567,29966,793.0,2.8,5.699999999999999,430000,625000,11515.849353025551
68,30105,30101,Frogner,Gamle Oslo,14509,42741,43121.0,5.35,4.75,464000,453000,5195.065116918232
69,30105,30102,Frogner,Grünerløkka,14859,42741,29560.0,5.35,3.65,464000,450000,5419.345083763808
70,30105,30103,Frogner,Sagene,10579,42741,19408.0,5.35,2.34,464000,461000,4959.614120623244
71,30105,30104,Frogner,St. Hanshaugen,18712,42741,54104.0,5.35,2.8,464000,430000,3732.1679574768204
72,30105,30105,Frogner,Frogner,65838,42741,48082.0,5.35,5.35,464000,464000,0.0
73,30105,30106,Frogner,Ullern,12645,42741,38334.0,5.35,7.1,464000,648000,2583.118128023521
74,30105,30107,Frogner,Vestre Aker,14795,42741,13362.0,5.35,11.55,464000,688000,5884.76641835075
75,30105,30108,Frogner,Nordre Aker,13840,42741,42238.0,5.35,10.5,464000,578000,5970.97908545217
76,30105,30109,Frogner,Bjerke,5101,42741,22537.0,5.35,5.85,464000,490000,8761.096414560401
77,30105,30110,Frogner,Grorud,3352,42741,9297.0,5.35,4.37,464000,453000,13325.06856395564
78,30105,30111,Frogner,Stovner,3225,42741,9490.0,5.35,5.04,464000,489000,14804.411756210138
79,30105,30112,Frogner,Alna,7528,42741,31427.0,5.35,9.23,464000,477000,10590.817020275608
80,30105,30113,Frogner,Østensjø,6848,42741,12470.0,5.35,7.66,464000,539000,10143.696341158544
81,30105,30114,Frogner,Nordstrand,8486,42741,11179.0,5.35,11.83,464000,607000,8591.144045348414
82,30105,30115,Frogner,Søndre Nordstrand,4208,42741,6701.0,5.35,6.16,464000,539000,14393.678169309376
83,30105,30116,Frogner,Sentrum,14508,42741,77995.0,5.35,1.4,464000,335000,3268.304795878204
84,30105,30117,Frogner,Marka,711,42741,793.0,5.35,5.699999999999999,464000,625000,14412.998564938223
85,30106,30101,Ullern,Gamle Oslo,5644,19164,43121.0,7.1,4.75,648000,453000,7538.630678145991
86,30106,30102,Ullern,Grünerløkka,5510,19164,29560.0,7.1,3.65,648000,450000,7668.092225214394
87,30106,30103,Ullern,Sagene,3964,19164,19408.0,7.1,2.34,648000,461000,6661.661197871385
88,30106,30104,Ullern,St. Hanshaugen,5706,19164,54104.0,7.1,2.8,648000,430000,5680.342713904701
89,30106,30105,Ullern,Frogner,12633,19164,48082.0,7.1,5.35,648000,464000,2583.118128023521
90,30106,30106,Ullern,Ullern,26358,19164,38334.0,7.1,7.1,648000,648000,0.0
91,30106,30107,Ullern,Vestre Aker,8621,19164,13362.0,7.1,11.55,648000,688000,4157.07874156814
92,30106,30108,Ullern,Nordre Aker,6185,19164,42238.0,7.1,10.5,648000,578000,6930.446079447643
93,30106,30109,Ullern,Bjerke,2397,19164,22537.0,7.1,5.85,648000,490000,11009.843556010987
94,30106,30110,Ullern,Grorud,1431,19164,9297.0,7.1,4.37,648000,453000,15573.815705406227
95,30106,30111,Ullern,Stovner,1367,19164,9490.0,7.1,5.04,648000,489000,17053.158897660724
96,30106,30112,Ullern,Alna,3386,19164,31427.0,7.1,9.23,648000,477000,12934.382581503365
97,30106,30113,Ullern,Østensjø,3048,19164,12470.0,7.1,7.66,648000,539000,12487.261902386304
98,30106,30114,Ullern,Nordstrand,3539,19164,11179.0,7.1,11.83,648000,607000,11249.313662634668
99,30106,30115,Ullern,Søndre Nordstrand,1803,19164,6701.0,7.1,6.16,648000,539000,17051.847786595627
100,30106,30116,Ullern,Sentrum,3998,19164,77995.0,7.1,1.4,648000,335000,5926.4744131644575
101,30106,30117,Ullern,Marka,508,19164,793.0,7.1,5.699999999999999,648000,625000,14987.113271728405
102,30107,30101,Vestre Aker,Gamle Oslo,6307,27837,43121.0,11.55,4.75,688000,453000,9081.136063595923
103,30107,30102,Vestre Aker,Grünerløkka,6253,27837,29560.0,11.55,3.65,688000,450000,8322.715103578734
104,30107,30103,Vestre Aker,Sagene,4656,27837,19408.0,11.55,2.34,688000,461000,6588.167648021268
105,30107,30104,Vestre Aker,St. Hanshaugen,7633,27837,54104.0,11.55,2.8,688000,430000,6379.24655976538
106,30107,30105,Vestre Aker,Frogner,14686,27837,48082.0,11.55,5.35,688000,464000,5254.111517919711
107,30107,30106,Vestre Aker,Ullern,8634,27837,38334.0,11.55,7.1,688000,648000,4138.215947358329
108,30107,30107,Vestre Aker,Vestre Aker,41169,27837,13362.0,11.55,11.55,688000,688000,0.0
109,30107,30108,Vestre Aker,Nordre Aker,8673,27837,42238.0,11.55,10.5,688000,578000,5814.643757323524
110,30107,30109,Vestre Aker,Bjerke,2941,27837,22537.0,11.55,5.85,688000,490000,10803.032090854053
111,30107,30110,Vestre Aker,Grorud,1491,27837,9297.0,11.55,4.37,688000,453000,15367.004240249293
112,30107,30111,Vestre Aker,Stovner,1421,27837,9490.0,11.55,5.04,688000,489000,17013.606925016727
113,30107,30112,Vestre Aker,Alna,4254,27837,31427.0,11.55,9.23,688000,477000,13214.773751610517
114,30107,30113,Vestre Aker,Østensjø,3315,27837,12470.0,11.55,7.66,688000,539000,14029.767287836234
115,30107,30114,Vestre Aker,Nordstrand,3662,27837,11179.0,11.55,11.83,688000,607000,13181.248364298615
116,30107,30115,Vestre Aker,Søndre Nordstrand,2016,27837,6701.0,11.55,6.16,688000,539000,19225.226605282223
117,30107,30116,Vestre Aker,Sentrum,4681,27837,77995.0,11.55,1.4,688000,335000,8555.691368731888
118,30107,30117,Vestre Aker,Marka,1284,27837,793.0,11.55,5.699999999999999,688000,625000,13871.310949604289
119,30108,30101,Nordre Aker,Gamle Oslo,9597,31804,43121.0,10.5,4.75,578000,453000,5533.163597309787
120,30108,30102,Nordre Aker,Grünerløkka,11759,31804,29560.0,10.5,3.65,578000,450000,3692.4113394892024
121,30108,30103,Nordre Aker,Sagene,13792,31804,19408.0,10.5,2.34,578000,461000,1927.5610029732368
122,30108,30104,Nordre Aker,St. Hanshaugen,11762,31804,54104.0,10.5,2.8,578000,430000,3146.8502404182586
123,30108,30105,Nordre Aker,Frogner,14255,31804,48082.0,10.5,5.35,578000,464000,6338.850027181776
124,30108,30106,Nordre Aker,Ullern,6102,31804,38334.0,10.5,7.1,578000,648000,6944.333803328359
125,30108,30107,Nordre Aker,Vestre Aker,8739,31804,13362.0,10.5,11.55,578000,688000,5771.982335361885
126,30108,30108,Nordre Aker,Nordre Aker,45548,31804,42238.0,10.5,10.5,578000,578000,0.0
127,30108,30109,Nordre Aker,Bjerke,5834,31804,22537.0,10.5,5.85,578000,490000,5462.955888110144
128,30108,30110,Nordre Aker,Grorud,3396,31804,9297.0,10.5,4.37,578000,453000,10026.928037505386
129,30108,30111,Nordre Aker,Stovner,3027,31804,9490.0,10.5,5.04,578000,489000,11673.53072227282
130,30108,30112,Nordre Aker,Alna,6748,31804,31427.0,10.5,9.23,578000,477000,7874.697548866604
131,30108,30113,Nordre Aker,Østensjø,5661,31804,12470.0,10.5,7.66,578000,539000,9278.772478286974
132,30108,30114,Nordre Aker,Nordstrand,5566,31804,11179.0,10.5,11.83,578000,607000,10510.950188038312
133,30108,30115,Nordre Aker,Søndre Nordstrand,3025,31804,6701.0,10.5,6.16,578000,539000,16763.571063423275
134,30108,30116,Nordre Aker,Sentrum,6294,31804,77995.0,10.5,1.4,578000,335000,5795.0550089853905
135,30108,30117,Nordre Aker,Marka,1417,31804,793.0,10.5,5.699999999999999,578000,625000,8513.925356751284
136,30109,30101,Bjerke,Gamle Oslo,6242,20501,43121.0,5.85,4.75,490000,453000,4851.499565967582
137,30109,30102,Bjerke,Grünerløkka,7476,20501,29560.0,5.85,3.65,490000,450000,3506.7370089967176
138,30109,30103,Bjerke,Sagene,4685,20501,19408.0,5.85,2.34,490000,461000,4251.802098436639
139,30109,30104,Bjerke,St. Hanshaugen,4267,20501,54104.0,5.85,2.8,490000,430000,6117.3080450574835
140,30109,30105,Bjerke,Frogner,5197,20501,48082.0,5.85,5.35,490000,464000,8167.215233799408
141,30109,30106,Bjerke,Ullern,2412,20501,38334.0,5.85,7.1,490000,648000,10880.711749697526
142,30109,30107,Bjerke,Vestre Aker,2829,20501,13362.0,5.85,11.55,490000,688000,10712.829077629778
143,30109,30108,Bjerke,Nordre Aker,5961,20501,42238.0,5.85,10.5,490000,578000,5497.805791366676
